ID,X,name,founded_on,region_name,country_name,city_name,country_code,acquisition_price,announced_on,announced_on_formatted,description,tot_funding,ipo_date,ipo_is_true,ipo_amount,days_to_ipo,acquisition_date,days_to_acquisition,days_to_today,days_to_LIQ,series_a_date,series_b_date,series_c_date,series_d_date,series_e_date,seed_date,angel_date,grant_date,debt_date,equity_date,unattributed_date,days_to_series_a,days_to_series_b,days_to_series_c,days_to_series_d,days_to_series_e,days_to_seed,days_to_angel,days_to_grant,days_to_debt,days_to_equity,days_to_unattributed,days_to_first_fund,days_to_last_fund,PreLiq_funding,AllLiq_funding,FoldReturn_funding,Old_Co,Succeed_co,Stale_co,AgedOut_co,zombie_co,unknown_co,Aargau,Aberdeen.City,Akershus,Alabama,Alagoas,Alaska,Alberta,Almaty,Alsace,Andalucia,Andhra.Pradesh,Anhui,Antwerpen,Aquitaine,Aragon,Arizona,Arkansas,Assam,Asturias,Auckland,Aust.Agder,Baden.Wurttemberg,Barnsley,Basel.Landschaft,Basel.Stadt,Bayern,Bedfordshire,Beijing,Belfast,Berlin,Bern,Birmingham,Brabant.Wallon,Braga,Brandenburg,Bratislava,Bretagne,Bridgend,Bristol..City.of,British.Columbia,Bromley,Brussels.Hoofdstedelijk.Gewest,Buckinghamshire,Bucuresti,Budapest,Caerphilly,California,Cambridgeshire,Canakkale,Canterbury,Cardiff,Carlow,Carmarthenshire,Castilla.y.Leon,Catalonia,Central.Region,Centre,Chernihivs.ka.Oblast.,Cheshire,Cheshire.East,Chiba,Chon.Buri,Coimbra,Coleraine,Colorado,Comunidad.Valenciana,Connecticut,Cork,Croydon,Delaware,Delhi,District.of.Columbia,Distrito.Federal,Dubai,Dublin,Dundee.City,Durham,East.Sussex,Edinburgh..City.of,Emilia.Romagna,England,Entre.Rios,Essex,Faro,Fejer,Florida,Franche.Comte,Friuli.Venezia.Giulia,Galicia,Galway,Gelderland,Geneve,Georgia,Glasgow.City,Goias,Grad.Sofiya,Groningen,Guangdong,Gujarat,Gwynedd,HaDarom,HaMerkaz,HaZafon,Hainan,Hainaut,Hamburg,Hampshire,Harjumaa,Haryana,Haute.Normandie,Hawaii,Hebei,Hefa,Heilongjiang,Herefordshire,Hertford,Hessen,Hlavni.mesto.Praha,Hokkaido,Hong.Kong.Island,Hounslow,Hovedstaden,Hubei,Hunan,Idaho,Ile.de.France,Illinois,Inch.on.jikhalsi,Indiana,Ioannina,Iowa,Islamabad,Islas.Baleares,Jalisco,Jiangsu,Kanagawa,Kansas,Karnataka,Kent,Kentucky,Kerry,Krung.Thep,Kuala.Lumpur,Lancashire,Languedoc.Roussillon,Lazio,Leeds,Leicester,Leiria,Liaoning,Liege,Lima,Limburg,Limousin,Lisboa,Liverpool,Lombardia,Louisiana,Luxembourg,Madhya.Pradesh,Madrid,Maharashtra,Maine,Manchester,Manitoba,Maryland,Massachusetts,Mazowieckie,Mecklenburg.Vorpommern,Michigan,Midi.Pyrenees,Midland,Midlothian,Midtjylland,Milton.Keynes,Minnesota,Mississippi,Missouri,Montana,Moscow.City,Murcia,NA...Puerto.Rico,NA...South.Africa,Namur,Navarra,Nebraska,Nevada,New.Brunswick,New.Hampshire,New.Jersey,New.Mexico,New.South.Wales,New.York,Newcastle.upon.Tyne,Newport,Nicosia,Niederosterreich,Niedersachsen,Nigde,Noord.Brabant,Noord.Holland,Nord.Pas.de.Calais,Nordjylland,Nordrhein.Westfalen,North.Carolina,North.Dakota,North.Lanarkshire,North.Yorkshire,Nottingham,Nova.Scotia,Nuevo.Leon,Ohio,Okinawa,Oklahoma,Ontario,Oost.Vlaanderen,Oregon,Osaka,Oslo,Ostergotlands.Lan,Ostfold,Otago,Oulu,Overijssel,Oxfordshire,Pais.Vasco,Pangasinan,Parana,Pays.de.la.Loire,Pennsylvania,Pest,Piaui,Piemonte,Plymouth,Porto,Provence.Alpes.Cote.d.Azur,Quebec,Queensland,Reading,Region.Metropolitana,Renfrewshire,Rheinland.Pfalz,Rhode.Island,Rhone.Alpes,Riga,Rio.Grande.do.Sul,Rio.de.Janeiro,Rogaland,Saarland,Sachsen,Sachsen.Anhalt,Santa.Catarina,Sao.Paulo,Sardegna,Schleswig.Holstein,Schwyz,Scottish.Borders..The,Seoul.t.ukpyolsi,Setubal,Shaanxi,Shanghai,Shanxi,Sheffield,Sichuan,Skane.Lan,Sligo,Somerset,Sor.Trondelag,South.Australia,South.Carolina,South.Dakota,Southampton,Southern.Finland,Steiermark,Stirling,Stockholms.Lan,Stoke.on.Trent,Sulawesi.Tengah,Surrey,Syddanmark,T.ai.pei,T.ai.wan,Taejon.jikhalsi,Tamil.Nadu,Tartu,Tartumaa,Tel.Aviv,Tennessee,Texas,Thuringen,Ticino,Tipperary,Tirol,Tokyo,Toscana,Troms,Tunis,Uppsala.Lan,Utah,Utrecht,Uttar.Pradesh,Vastra.Gotaland,Vaud,Victoria,Vilniaus.Apskritis,Virginia,Vlaams.Brabant,Vojvodina,Washington,West.Bengal,West.Lothian,West.Virginia,Western.Finland,Wicklow,Wien,Wiltshire,Wisconsin,Wyoming,Yerushalayim,York,Zhejiang,Zug,Zuid.Holland,Zurich,ipoed,ipoed_num,liquidated,mostly_sci,founded_year,pre_ipo_funding,.imp,.id,n_relationships,n_markets,n_locations,healthcare,pharmaceuticals,medical,diagnostic,devices,wellness,technology,information.technology,days_to_end,found_yr,n_people,n_scientists,paperCt,Max_collab,citMax,per_sci_team,citSum,collabTot,isRecession
2023,2942,BioMedomics,1/1/06,North Carolina,United States,Durham,USA,NA,20150223,23-Feb-15,BioMedomics develops advanced quantitative point-of-care (POC) diagnostic platforms and disease-specific diagnostic tests.,1188702,NA,FALSE,NA,NA,NA,NA,3758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/2/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019,NA,1019,1019,1188702,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,Yes,2006,NA,1,2942,14,1,3,0,0,0,0,0,0,0,0,3758,2006,1,1,81,66,25,1,506,414,No
2024,2943,Kadimastem,1/1/09,HaMerkaz,Israel,Ness Ziona,ISR,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/2/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,NA,319,319,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,No,2009,NA,1,2943,14,3,3,0,1,0,0,0,0,0,0,2662,2009,1,0,2,38,1,0.333333333,71,9,Yes
2025,2944,Assembly Pharma,1/1/12,California,United States,San Francisco,USA,NA,20140410,10-Apr-14,Assembly Pharmaceuticals is a virology-focused biopharmaceutical company with a discovery platform and programs based on proprietary Core,NA,NA,FALSE,NA,NA,NA,NA,1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/22/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,177,177,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,No,2012,NA,1,2944,14,1,3,0,0,0,0,0,0,0,0,1567,2012,1,0,62,86,14,0,225,287,No
2026,2945,Oculeve,1/1/11,California,United States,San Francisco,USA,1.25E+08,20120514,14-May-12,Oculeve is a biotech company focused on developing novel treatments for dry eye.,32305473,NA,FALSE,NA,NA,5/14/12,499,1932,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92694527,1.25E+08,-1.348515431,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,Yes,Yes,2011,NA,1,2945,14,1,3,0,0,0,0,0,0,0,0,499,2011,1,1,14,14,10,1,64,18,Yes
2027,2946,Magic Wheels,1/1/96,Washington,United States,Seattle,USA,NA,20100217,17-Feb-10,Magic Wheels designs and develops mechanical wheels for manual wheelchairs.,285075,NA,FALSE,NA,NA,NA,NA,7411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/14/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884,NA,884,884,285075,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,No,1996,NA,1,2946,14,1,3,0,0,0,0,0,0,0,0,7411,1996,8,7,106,7,37,1,741,482,No
2028,2947,Galantos Pharma,1/1/05,Rheinland-Pfalz,Germany,Mainz,DEU,NA,20100510,10-May-10,Galantos Pharma is a drug development company focusing on new drugs for neurodegenerative diseases such as Alzheimer‰Ûªs Dementia.,5700000,NA,FALSE,NA,NA,NA,NA,4123,NA,NA,NA,NA,NA,NA,10/23/11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1637,NA,NA,NA,NA,NA,NA,NA,5700000,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,No,2005,NA,1,2947,14,1,3,0,0,0,0,0,0,0,0,4123,2005,2,0,56,49,36,0,1127,171,No
2029,2948,ViroXis,1/1/06,Texas,United States,San Antonio,USA,NA,20101015,15-Oct-10,"ViroXis, a bio-pharmaceutical company, develops botanical pharmaceuticals derived from sandalwood oil.",10795700,NA,FALSE,NA,NA,NA,NA,3758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10795700,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,Yes,2006,NA,1,2948,14,1,3,0,0,0,0,0,0,0,0,3758,2006,3,2,20,13,7,0.666666667,48,68,No
2030,2950,Atech Flash Technology,1/1/01,California,United States,Fremont,USA,NA,NA,NA,Developers & Manufacturers of Lifestyle Technology,NA,NA,FALSE,NA,NA,NA,NA,5584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,No,2001,NA,1,2950,14,1,3,0,0,0,0,0,0,0,0,5584,2001,7,5,516,367,79,0.75,8428,3671,Yes
2031,2951,Galaxy Diagnostics,1/1/09,North Carolina,United States,Durham,USA,NA,20140819,19-Aug-14,"Galaxy Diagnostics is an early stage infectious disease diagnostic company, specializing in the detection of Bartonella.",590800,NA,FALSE,NA,NA,NA,NA,2662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590800,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,No,2009,NA,1,2951,14,1,3,0,0,0,0,0,0,0,0,2662,2009,1,0,20,49,14,0.333333333,80,2481,Yes
2032,2957,FluTrends International,1/1/09,Virginia,United States,Reston,USA,NA,20110617,17-Jun-11,"FluTrends International leverages science to save lives, reduce morbidity, and lessen the economic impact of influenza.",3.00E+05,NA,FALSE,NA,NA,NA,NA,2662,NA,NA,NA,4/29/10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2179,NA,NA,NA,NA,NA,NA,NA,NA,2179,2179,3.00E+05,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,No,2009,NA,1,2957,14,1,3,0,0,0,0,0,0,0,0,2662,2009,2,0,1,29,6,0,1,81,Yes
2033,2958,Matricore,4/13/15,Limburg,The Netherlands,Geleen,NLD,NA,20150331,31-Mar-15,The Modular Approach to Tissue Engineering,16227,NA,FALSE,NA,NA,NA,NA,369,NA,NA,NA,NA,5/9/11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1804,NA,NA,NA,NA,NA,NA,NA,1804,1804,16227,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,No,2015,NA,1,2958,14,3,3,0,0,0,0,0,0,1,0,369,2015,3,1,3,3,3,0.333333333,6,23,No
